name,our_fhtw_lb,our_fhtw_ub,our_ghtw_lb,our_ghtw_ub,our_num_runs,our_tot_time
Kakuro-hard-155-ext.xml.hg,5.9999986253399795,7.0,6,7.0,51,3600
Kakuro-hard-156-ext.xml.hg,3.911743831670355,6.0,4,6.0,43,3600
Kakuro-hard-157-ext.xml.hg,4.0,5.0,4,5.0,58,3600
Kakuro-hard-158-ext.xml.hg,4.0,5.0,4,5.0,60,3141.49
Kakuro-hard-159-ext.xml.hg,5.0,6.0,5,6.0,58,3600
Kakuro-hard-161-ext.xml.hg,4.035792811951695,6.0,5,6.0,45,3600
Kakuro-hard-162-ext.xml.hg,5.012723262588395,8.0,6,8.0,50,3600
Kakuro-hard-163-ext.xml.hg,4.0,5.0,4,5.0,54,3600
Kakuro-hard-165-ext.xml.hg,5.0,6.0,5,6.0,55,3600
Kakuro-hard-168-ext.xml.hg,4.999999976766552,6.0,5,6.0,51,3600
Kakuro-hard-169-ext.xml.hg,4.457215083505871,7.0,5,7.0,50,3600
